Org	Group	Name	Pays_en_dev_2011	Autres_SudEst_2011	Total_2011	Pays_en_dev_2010	Autres_SudEst_2010	Total_2010
1	139	Fondation KASA - Komitas Action Suisse Arménie	217	-	217	489	-	489
0	139	Arménie	217	-	217	489	-	489
1	140	Fondation Moi pour toit	677	-	677	753	-	753
0	140	Colombie	677	-	677	753	-	753
1	141	Fondation Sentinelles	1'274	1	1'275	1'440	3	1'442
0	141	Niger	374	-	374	293	-	293
0	141	Burkina Faso	199	-	199	246	-	246
0	141	Madagascar	191	-	191	212	-	212
0	141	Sénégal	176	-	176	205	-	205
0	141	Colombie	119	-	119	174	-	174
0	141	Brésil	79	-	79	94	-	94
0	141	Kenya	65	-	65	89	-	89
0	141	Congo (Rép. dém.)	61	-	61	93	-	93
0	141	Divers	12	1	12	32	3	35
1	142	Fondation Sociale Suisse du Nord-Cameroun	250	-	250	250	-	250
0	142	Cameroun	250	-	250	250	-	250
1	143	Fondation Suisse-Santé-Haïti	480	-	480	..	..	..
0	143	Haïti	480	-	480	..	..	..
1	144	Fondation SURGIR	38	-	38	-	-	-
0	144	Inde	38	-	38	-	-	-
1	145	Fondation Terre des hommes	26'629	402	27'030	32'547	389	32'936
0	145	PED, non spécifié	6'992	-	6'992	7'046	-	7'046
0	145	Haïti	4'203	-	4'203	5'512	-	5'512
0	145	Sri Lanka	1'171	-	1'171	1'356	-	1'356
0	145	Burkina Faso	1'048	-	1'048	709	-	709
0	145	Inde	1'000	-	1'000	745	-	745
0	145	Burundi	931	-	931	403	-	403
0	145	Egypte	872	-	872	1'072	-	1'072
0	145	Bénin	768	-	768	703	-	703
0	145	Brésil	697	-	697	1'355	-	1'355
0	145	Albanie	686	-	686	759	-	759
0	145	Soudan (sans le Sud)	682	-	682	1'316	-	1'316
0	145	Colombie	663	-	663	517	-	517
0	145	Afghanistan	594	-	594	3'248	-	3'248
0	145	Togo	567	-	567	617	-	617
0	145	Népal	548	-	548	580	-	580
0	145	Gaza et Cisjordanie	526	-	526	220	-	220
0	145	Nicaragua	509	-	509	412	-	412
0	145	Bangladesh	457	-	457	785	-	785
0	145	Mozambique	428	-	428	478	-	478
0	145	Pérou	407	-	407	434	-	434
0	145	Roumanie	-	402	402	-	389	389
0	145	Moldavie	395	-	395	351	-	351
0	145	Guinée	334	-	334	302	-	302
0	145	Afrique de l'Est, régional	332	-	332	-	-	-
0	145	Mauritanie	294	-	294	431	-	431
0	145	Syrie	288	-	288	544	-	544
0	145	Pakistan	288	-	288	-	-	-
0	145	Kosovo	273	-	273	257	-	257
0	145	Sénégal	225	-	225	247	-	247
0	145	Liban	191	-	191	391	-	391
0	145	Maroc	149	-	149	118	-	118
0	145	Myanmar	67	-	67	599	-	599
0	145	Indonésie	42	-	42	476	-	476
0	145	Chili	40	-	40	-	-	-
0	145	Equateur	-36	-	-36	283	-	283
0	145	Divers	1	-	1	282	-	282
1	146	Fondation TerrEspoir	10	-	10	-	-	-
0	146	Cameroun	10	-	10	-	-	-
1	147	Fondazione Don Bosco nel Mondo	3'042	364	3'407	1'215	-	1'215
0	147	Burundi	1'243	-	1'243	15	-	15
0	147	Haïti	1'215	-	1'215	50	-	50
0	147	Djibouti	376	-	376	178	-	178
0	147	Israël	-	364	364	-	-	-
0	147	Ethiopie	140	-	140	81	-	81
0	147	Equateur	32	-	32	24	-	24
0	147	Inde	20	-	20	57	-	57
0	147	Divers	17	-	17	809	-	809
1	148	Förderverein Kinder der Zukunft	40	-	40	40	-	40
0	148	Pérou	40	-	40	40	-	40
1	149	Förderverein Mad'Eole Schweiz	300	-	300	350	-	350
0	149	Madagascar	300	-	300	350	-	350
1	150	Förderverein Variant 5	-	76	76	-	75	75
0	150	Bulgarie	-	76	76	-	75	75
1	151	Fraternitas Humana	285	-	285	187	-	187
0	151	Pérou	285	-	285	187	-	187
1	152	Frauen für den Frieden Schweiz	21	4	25	31	4	35
1	153	Friends of Humanity (FOH)	70	-	70	..	..	..
0	153	Inde	28	-	28	..	..	..
0	153	Burundi	20	-	20	..	..	..
0	153	Népal	14	-	14	..	..	..
0	153	Divers	8	-	8	-	-	-
1	154	Friends of Kisimiri, KME Switzerland	91	-	91	..	..	..
0	154	Tanzanie	91	-	91	..	..	..
1	155	FXB International	931	-	931	1'509	-	1'509
0	155	Inde	333	-	333	586	-	586
0	155	Rwanda	128	-	128	72	-	72
0	155	Burundi	94	-	94	146	-	146
0	155	Afrique du Sud	91	-	91	82	-	82
0	155	Ouganda	83	-	83	135	-	135
0	155	PED, non spécifié	81	-	81	63	-	63
0	155	Chine	66	-	66	152	-	152
0	155	Thaïlande	28	-	28	85	-	85
0	155	Myanmar	27	-	27	188	-	188
1	156	GfbV / SPM	223	-	223	265	42	307
0	156	Iraq	146	-	146	184	-	184
0	156	PED, non spécifié	39	-	39	-	-	-
0	156	Brésil	19	-	19	14	-	14
0	156	Kosovo	18	-	18	39	-	39
0	156	Divers	1	-	1	27	42	70
1	157	GloboSol	17	-	17	21	-	21
1	158	Grandir à Butare	4	-	4	5	-	5
1	159	Grupo Sofonias	60	-	60	85	-	85
0	159	Haïti	50	-	50	85	-	85
0	159	Namibie	10	-	10	-	-	-
1	160	GSGB - Gruppo di Sostegno ai Guaranì della Bolivia	39	-	39	44	-	44
0	160	Bolivie	39	-	39	44	-	44
1	161	Guinkouma	53	-	53	49	-	49
0	161	Burkina Faso	53	-	53	41	-	41
0	161	Divers	-	-	-	8	-	8
1	162	GVSI - Gruppo Volontari della Svizzera Italiana	46	-	46	31	-	31
0	162	Mexique	39	-	39	26	-	26
0	162	Divers	7	-	7	5	-	5
1	163	Handicap International Suisse	4'567	-	4'567	3'110	-	3'110
0	163	Haïti	1'991	-	1'991	240	-	240
0	163	Pakistan	862	-	862	249	-	249
0	163	Philippines	701	-	701	322	-	322
0	163	Sri Lanka	174	-	174	291	-	291
0	163	Libye	171	-	171	-	-	-
0	163	Indonésie	169	-	169	602	-	602
0	163	Afrique de l'Est, régional	86	-	86	-	-	-
0	163	Ethiopie	85	-	85	50	-	50
0	163	Mali	82	-	82	21	-	21
0	163	Sierra Leone	54	-	54	126	-	126
0	163	Tunisie	42	-	42	8	-	8
0	163	Colombie	36	-	36	-	-	-
0	163	Maroc	30	-	30	165	-	165
0	163	Moyen-Orient, régional	28	-	28	53	-	53
0	163	Algérie	13	-	13	76	-	76
0	163	Népal	11	-	11	14	-	14
0	163	Cambodge	11	-	11	29	-	29
0	163	Divers	20	-	20	865	-	865
1	164	Handicap Solidaire	32	-	32	20	-	20
0	164	Burkina Faso	32	-	32	20	-	20
1	165	Hans Haller-Stiftung	49	-	49	70	-	70
0	165	Brésil	49	-	49	70	-	70
1	166	Heilsarmee	1'878	-	1'878	3'156	-	3'157
0	166	Haïti	479	-	479	591	-	591
0	166	Pakistan	291	-	291	95	-	95
0	166	Kenya	288	-	288	530	-	530
0	166	Brésil	138	-	138	389	-	389
0	166	Equateur	97	-	97	107	-	107
0	166	Congo (Rép.)	80	-	80	265	-	265
0	166	Myanmar	70	-	70	44	-	44
0	166	Zimbabwe	67	-	67	272	-	272
0	166	Chili	61	-	61	31	-	31
0	166	Corée du Nord	48	-	48	17	-	17
0	166	Afrique de l'Est, régional	41	-	41	-	-	-
0	166	Inde	29	-	29	10	-	10
0	166	Congo (Rép. dém.)	28	-	28	87	-	87
0	166	Paraguay	26	-	26	13	-	13
0	166	Philippines	22	-	22	16	-	16
0	166	Zambie	19	-	19	286	-	286
0	166	Afrique australe, régional	15	-	15	-	-	-
0	166	Panama	15	-	15	9	-	9
0	166	Angola	14	-	14	-	-	-
0	166	Pérou	11	-	11	3	-	3
0	166	Sri Lanka	11	-	11	13	-	13
0	166	Divers	27	-	27	379	-	380
1	167	HEKS / EPER	13'187	265	13'452	17'487	238	17'726
0	167	Ethiopie	1'871	-	1'871	1'046	-	1'046
0	167	Haïti	1'552	-	1'552	2'634	-	2'634
0	167	Philippines	950	-	950	1'275	-	1'275
0	167	Indonésie	766	-	766	791	-	791
0	167	Gaza et Cisjordanie	678	-	678	636	-	636
0	167	Pakistan	676	-	676	1'408	-	1'408
0	167	Congo (Rép. dém.)	662	-	662	623	-	623
0	167	Niger	527	-	527	1'075	-	1'075
0	167	Bangladesh	477	-	477	535	-	535
0	167	Albanie	420	-	420	504	-	504
0	167	Brésil	417	-	417	466	-	466
0	167	PED, non spécifié	397	-	397	178	-	178
0	167	Soudan du Sud	396	-	396	-	-	-
0	167	Serbie	377	-	377	77	-	77
0	167	Zimbabwe	369	-	369	589	-	589
0	167	Moldavie	357	-	357	405	-	405
0	167	Inde	352	-	352	402	-	402
0	167	Colombie	340	-	340	507	-	507
0	167	Roumanie	-	265	265	-	238	238
0	167	Sénégal	261	-	261	418	-	418
0	167	Afrique du Sud	188	-	188	235	-	235
0	167	Guatemala	187	-	187	301	-	301
0	167	Asie centrale, régional	181	-	181	145	-	145
0	167	Europe de l'Est, régional	161	-	161	-	-	-
0	167	Cambodge	156	-	156	317	-	317
0	167	Honduras	149	-	149	311	-	311
0	167	Erythrée	135	-	135	293	-	293
0	167	Azerbaïdjan	117	-	117	88	-	88
0	167	Arménie	95	-	95	108	-	108
0	167	Turquie	42	-	42	-	-	-
0	167	Liban	30	-	30	-	-	-
0	167	Europe, régional	23	-	23	770	-	770
0	167	Mexique	20	-	20	34	-	34
0	167	Géorgie	-146	-	-146	177	-	177
0	167	Divers	5	-	5	1'138	-	1'138
1	168	HELVETAS Swiss Intercooperation	11'162	-	11'162	12'584	..	12'584
0	168	Bénin	1'272	-	1'272	1'027	..	1'027
0	168	Mali	1'046	-	1'046	1'296	..	1'296
0	168	Guatemala	1'018	-	1'018	917	..	917
0	168	Mozambique	1'013	-	1'013	987	..	987
0	168	Afghanistan	908	-	908	927	..	927
0	168	Népal	866	-	866	1'398	..	1'398
0	168	Bhoutan	820	-	820	933	..	933
0	168	Ethiopie	799	-	799	1'002	..	1'002
0	168	Laos	745	-	745	737	..	737
0	168	Burkina Faso	604	-	604	771	..	771
0	168	Honduras	587	-	587	528	..	528
0	168	Kirghizistan	586	-	586	729	..	729
0	168	Haïti	379	-	379	718	..	718
0	168	Viet Nam	314	-	314	400	..	400
0	168	Tadjikistan	137	-	137	106	..	106
0	168	Tanzanie	45	-	45	43	..	43
0	168	Sri Lanka	22	-	22	66	..	66
1	169	Hilfe für Tadschikistan	73	-	73	..	..	..
0	169	Tadjikistan	73	-	73	..	..	..
1	170	Hilfsorganisation Nordosten von Brasilien	5	-	5	5	-	5
1	171	Horyzon	657	-	657	936	-	936
0	171	Gaza et Cisjordanie	156	-	156	166	-	166
0	171	Europe de l'Est, régional	145	-	145	-	-	-
0	171	PED, non spécifié	127	-	127	174	-	174
0	171	Colombie	113	-	113	181	-	181
0	171	Bangladesh	68	-	68	200	-	200
0	171	Equateur	27	-	27	46	-	46
0	171	Arménie	21	-	21	33	-	33
0	171	Divers	-	-	-	135	-	135
1	172	IAMANEH Schweiz	1'315	-	1'315	1'128	-	1'128
0	172	Mali	480	-	480	439	-	439
0	172	Bosnie-Herzégovine	253	-	253	179	-	179
0	172	Albanie	195	-	195	141	-	141
0	172	Haïti	155	-	155	151	-	151
0	172	Togo	125	-	125	39	-	39
0	172	Burkina Faso	96	-	96	121	-	121
0	172	Sénégal	11	-	11	59	-	59
1	173	IAS - Ingénieurs et Architectes Solidaires	36	-	36	5	-	5
0	173	Bénin	30	-	30	-	-	-
0	173	Divers	6	-	6	5	-	5
1	174	IFPD	92	-	92	109	-	109
0	174	Inde	92	-	92	109	-	109
1	175	InfoSud - Agence de Presse	27	-	27	40	-	40
0	175	PED, non spécifié	22	-	22	30	-	30
0	175	Divers	5	-	5	10	-	10
1	176	Insieme per la Pace	739	-	739	606	-	606
0	176	Rwanda	727	-	727	601	-	601
0	176	Kosovo	11	-	11	6	-	6
1	177	Institut Menzingen	510	-	510	551	-	551
0	177	Inde	177	-	177	135	-	135
0	177	Afrique du Sud	102	-	102	109	-	109
0	177	Sri Lanka	91	-	91	78	-	78
0	177	Chili	49	-	49	100	-	100
0	177	Zambie	40	-	40	46	-	46
0	177	PED, non spécifié	36	-	36	71	-	71
0	177	Divers	14	-	14	13	-	13
1	178	Institut Pater Johann Peter	131	-	131	90	-	90
0	178	Brésil	131	-	131	90	-	90
1	179	Institut Sainte-Ursule	94	-	94	93	-	93
0	179	Tchad	82	-	82	81	-	81
0	179	Congo (Rép. dém.)	12	-	12	12	-	12
1	180	Interteam	1'473	-	1'473	1'265	-	1'265
0	180	Tanzanie	354	-	354	355	-	355
0	180	Namibie	344	-	344	268	-	268
0	180	Colombie	309	-	309	213	-	213
0	180	Amérique Centrale (avec Mexique), régional	229	-	229	149	-	149
0	180	Bolivie	109	-	109	85	-	85
0	180	Nicaragua	83	-	83	77	-	77
0	180	PED, non spécifié	44	-	44	117	-	117
1	181	IPA - International Project Aid	580	-	580	658	-	658
0	181	Cameroun	316	-	316	498	-	498
0	181	Albanie	264	-	264	160	-	160
1	182	Islamic Relief Suisse	1'821	-	1'821	995	50	1'045
0	182	Somalie	780	-	780	-	-	-
0	182	Niger	294	-	294	-	-	-
0	182	Pakistan	280	-	280	-	-	-
0	182	Afghanistan	150	-	150	-	-	-
0	182	Gaza et Cisjordanie	98	-	98	550	-	550
0	182	Albanie	78	-	78	125	-	125
0	182	Malawi	52	-	52	57	-	57
0	182	Kosovo	47	-	47	50	-	50
0	182	Bosnie-Herzégovine	43	-	43	50	-	50
0	182	Divers	-	-	-	163	50	213
1	183	Jura-Afrique	48	-	48	28	-	28
0	183	Bénin	48	-	48	28	-	28
